Id;Cadence
30001.0;74.6256
30002.0;97.646
30003.0;91.407
30004.0;88.3496
30005.0;71.5096
30006.0;73.811
30007.0;85.9836
30008.0;94.9016
30009.0;92.1194
30010.0;87.449
30011.0;87.7392
30012.0;99.5874
30013.0;84.4308
30014.0;62.0924
30015.0;92.6866
30016.0;82.17
30017.0;87.3814
30018.0;75.1634
30019.0;97.462
30020.0;66.5188
30021.0;90.1632
30022.0;90.9734
30023.0;90.762
30024.0;93.986
30025.0;77.523
30026.0;86.665
30027.0;84.2256
30028.0;101.219
30029.0;75.5212
30030.0;86.4136
30031.0;82.023
30032.0;87.612
30033.0;93.7256
30034.0;96.4628
30035.0;80.6654
30036.0;89.3326
30037.0;92.0206
30038.0;85.9954
30039.0;80.7376
30040.0;91.1876
30041.0;87.867
30042.0;87.2604
30043.0;76.7438
30044.0;80.4276
30045.0;84.2824
30046.0;78.8202
30047.0;84.0672
30048.0;99.239
30049.0;89.716
30050.0;82.9958
30051.0;95.1394
30052.0;86.9374
30053.0;93.7356
30054.0;90.247
30055.0;77.6354
30056.0;95.076
30057.0;73.0384
30058.0;62.2998
30059.0;84.3034
30060.0;87.7568
30061.0;73.967
30062.0;77.1534
30063.0;88.2594
30064.0;86.3194
30065.0;80.8288
30066.0;84.5294
30067.0;95.4466
30068.0;87.2084
30069.0;84.4172
30070.0;85.7412
30071.0;80.925
30072.0;87.459
30073.0;78.9332
30074.0;95.6552
30075.0;90.7814
30076.0;79.3868
30077.0;81.8582
30078.0;90.3072
30079.0;89.2672
30080.0;64.0094
30081.0;90.671
30082.0;75.1536
30083.0;91.595
30084.0;97.2174
30085.0;101.4778
30086.0;84.8166
30087.0;87.6444
30088.0;79.2268
30089.0;69.639
30090.0;97.0242
30091.0;81.3046
30092.0;96.8524
30093.0;74.2534
30094.0;101.0944
30095.0;77.0598
30096.0;78.7458
30097.0;81.436
30098.0;94.615
30099.0;95.2912
30100.0;82.7314
30101.0;76.3518
30102.0;94.4556
30103.0;94.1532
30104.0;89.6924
30105.0;92.3876
30106.0;87.3716
30107.0;78.8266
30108.0;92.7076
30109.0;84.5848
30110.0;86.3946
30111.0;85.9012
30112.0;85.7888
30113.0;92.219
30114.0;84.1928
30115.0;79.7272
30116.0;96.3118
30117.0;69.7292
30118.0;93.2818
30119.0;76.607
30120.0;90.0516
30121.0;89.4072
30122.0;93.4694
30123.0;77.6512
30124.0;87.6042
30125.0;92.1082
30126.0;87.1358
30127.0;76.4702
30128.0;87.0704
30129.0;81.285
30130.0;77.4548
30131.0;94.6928
30132.0;84.8966
30133.0;71.342
30134.0;84.8148
30135.0;86.4328
30136.0;73.5512
30137.0;84.4234
30138.0;94.5988
30139.0;88.3
30140.0;90.7564
30141.0;91.824
30142.0;74.5478
30143.0;92.5916
30144.0;84.4286
30145.0;93.8574
30146.0;91.7998
30147.0;65.8678
30148.0;79.828
30149.0;84.5094
30150.0;81.0822
30151.0;91.9048
30152.0;82.1978
30153.0;97.5328
30154.0;71.9608
30155.0;82.4868
30156.0;76.8182
30157.0;82.0148
30158.0;95.8178
30159.0;94.2384
30160.0;98.0684
30161.0;85.9522
30162.0;93.5988
30163.0;77.0508
30164.0;77.3156
30165.0;95.417
30166.0;93.1218
30167.0;90.0064
30168.0;92.2362
30169.0;79.8528
30170.0;85.5476
30171.0;88.9302
30172.0;91.563
30173.0;82.574
30174.0;80.1182
30175.0;89.0494
30176.0;87.3452
30177.0;72.8834
30178.0;77.7756
30179.0;75.0708
30180.0;72.7526
30181.0;74.1958
30182.0;84.8506
30183.0;84.375
30184.0;96.2012
30185.0;87.9764
30186.0;94.476
30187.0;84.1344
30188.0;88.03
30189.0;87.3614
30190.0;92.9056
30191.0;90.0398
30192.0;78.902
30193.0;92.1034
30194.0;94.1736
30195.0;87.97
30196.0;78.82
30197.0;92.2716
30198.0;97.7314
30199.0;80.135
30200.0;81.9744
30201.0;83.5596
30202.0;89.3142
30203.0;77.4632
30204.0;87.4412
30205.0;79.1822
30206.0;85.9228
30207.0;85.783
30208.0;82.944
30209.0;82.847
30210.0;82.1004
30211.0;88.0712
30212.0;87.8124
30213.0;94.0728
30214.0;84.6344
30215.0;75.6272
30216.0;75.242
30217.0;86.0312
30218.0;92.9758
30219.0;76.0196
30220.0;99.5162
30221.0;79.8282
30222.0;78.5294
30223.0;87.8626
30224.0;84.556
30225.0;94.6622
30226.0;95.8428
30227.0;90.7276
30228.0;88.0216
30229.0;96.9716
30230.0;87.2762
30231.0;68.5964
30232.0;84.365
30233.0;86.1506
30234.0;64.8078
30235.0;80.0622
30236.0;100.4596
30237.0;72.0158
30238.0;95.6084
30239.0;72.5448
30240.0;88.6542
30241.0;92.2826
30242.0;49.0378
30243.0;94.595
30244.0;87.1918
30245.0;96.2472
30246.0;79.1048
30247.0;88.911
30248.0;81.173
30249.0;77.611
30250.0;83.2306
30251.0;81.873
30252.0;99.4598
30253.0;85.1844
30254.0;67.6662
30255.0;88.665
30256.0;88.655
30257.0;98.3352
30258.0;64.2838
30259.0;94.5092
30260.0;69.4596
30261.0;85.9048
30262.0;93.9648
30263.0;82.949
30264.0;67.3582
30265.0;81.6822
30266.0;88.0422
30267.0;90.668
30268.0;87.1254
30269.0;72.8436
30270.0;90.1256
30271.0;80.371
30272.0;96.738
30273.0;89.389
30274.0;99.9308
30275.0;76.7144
30276.0;95.5746
30277.0;70.4438
30278.0;97.2286
30279.0;93.4294
30280.0;86.74
30281.0;79.9158
30282.0;67.105
30283.0;98.9424
30284.0;81.9818
30285.0;85.0454
30286.0;86.059
30287.0;95.315
30288.0;85.7154
30289.0;79.207
30290.0;93.5318
30291.0;78.7596
30292.0;84.2288
30293.0;93.6538
30294.0;85.4984
30295.0;75.1648
30296.0;91.8992
30297.0;86.044
30298.0;90.8434
30299.0;86.7728
30300.0;73.6698
30301.0;78.5304
30302.0;78.3206
30303.0;90.2722
30304.0;89.9294
30305.0;94.1756
30306.0;50.7852
30307.0;91.4726
30308.0;86.8962
30309.0;89.5616
30310.0;67.4686
30311.0;94.2344
30312.0;91.5348
30313.0;80.6806
30314.0;81.1666
30315.0;88.5672
30316.0;92.1606
30317.0;93.3232
30318.0;85.6232
30319.0;98.4084
30320.0;76.0896
30321.0;75.4808
30322.0;76.4052
30323.0;83.7484
30324.0;94.3568
30325.0;87.7924
30326.0;90.9114
30327.0;79.5058
30328.0;88.8366
30329.0;83.5308
30330.0;87.737
30331.0;82.0984
30332.0;84.6024
30333.0;79.591
30334.0;80.507
30335.0;91.6356
30336.0;80.1534
30337.0;91.9752
30338.0;77.896
30339.0;82.2146
30340.0;86.679
30341.0;96.2516
30342.0;76.3812
30343.0;79.457
30344.0;83.795
30345.0;96.9696
30346.0;70.0056
30347.0;102.7684
30348.0;80.9544
30349.0;84.4522
30350.0;89.5232
30351.0;82.0314
30352.0;90.2586
30353.0;89.9138
30354.0;68.2548
30355.0;87.6912
30356.0;83.2994
30357.0;87.8664
30358.0;83.3184
30359.0;76.04
30360.0;75.8662
30361.0;88.3056
30362.0;49.9506
30363.0;86.7598
30364.0;87.2446
30365.0;83.46
30366.0;97.0546
30367.0;84.4386
30368.0;78.2834
30369.0;90.875
30370.0;95.0026
30371.0;65.8664
30372.0;77.7636
30373.0;77.1888
30374.0;81.3858
30375.0;75.038
30376.0;96.0304
30377.0;86.531
30378.0;73.8672
30379.0;94.2268
30380.0;87.7548
30381.0;91.2656
30382.0;85.3764
30383.0;92.2006
30384.0;86.9062
30385.0;89.529
30386.0;91.0318
30387.0;99.3544
30388.0;92.0974
30389.0;83.0154
30390.0;61.7008
30391.0;82.6832
30392.0;76.3776
30393.0;89.486
30394.0;79.7314
30395.0;77.8846
30396.0;72.2926
30397.0;99.0292
30398.0;77.4544
30399.0;92.495
30400.0;85.084
30401.0;88.7818
30402.0;78.6374
30403.0;90.518
30404.0;94.8818
30405.0;85.0142
30406.0;85.8388
30407.0;80.0974
30408.0;85.4206
30409.0;79.3116
30410.0;83.5094
30411.0;76.4124
30412.0;59.0362
30413.0;80.6936
30414.0;80.5942
30415.0;98.4968
30416.0;76.0918
30417.0;90.6704
30418.0;87.7406
30419.0;81.5726
30420.0;95.7746
30421.0;92.7802
30422.0;91.1166
30423.0;85.3644
30424.0;83.007
30425.0;88.2414
30426.0;95.0126
30427.0;83.272
30428.0;86.8658
30429.0;69.873
30430.0;96.2926
30431.0;95.8216
30432.0;83.2796
30433.0;92.8882
30434.0;59.2588
30435.0;91.1198
30436.0;82.7462
30437.0;74.1344
30438.0;92.4566
30439.0;84.3344
30440.0;85.1052
30441.0;102.5634
30442.0;89.2212
30443.0;81.6514
30444.0;90.4716
30445.0;84.047
30446.0;91.9324
30447.0;73.62
30448.0;77.9876
30449.0;84.2334
30450.0;79.927
30451.0;87.9676
30452.0;85.1728
30453.0;89.8356
30454.0;99.284
30455.0;81.0374
30456.0;96.4516
30457.0;92.7698
30458.0;57.6356
30459.0;93.0806
30460.0;81.0446
30461.0;81.538
30462.0;92.3224
30463.0;68.4984
30464.0;81.238
30465.0;94.8224
30466.0;83.3416
30467.0;99.5374
30468.0;86.1716
30469.0;90.0386
30470.0;88.8496
30471.0;85.7318
30472.0;87.659
30473.0;82.4886
30474.0;84.2396
30475.0;77.3564
30476.0;72.8186
30477.0;89.8888
30478.0;84.045
30479.0;87.4466
30480.0;84.2228
30481.0;85.0292
30482.0;93.974
30483.0;78.1948
30484.0;90.7374
30485.0;89.212
30486.0;84.7904
30487.0;93.6698
30488.0;78.3292
30489.0;101.1838
30490.0;76.9636
30491.0;89.9698
30492.0;84.8558
30493.0;84.8006
30494.0;77.2524
30495.0;66.715
30496.0;93.8686
30497.0;94.4012
30498.0;77.353
30499.0;83.3154
30500.0;78.591
30501.0;92.6554
30502.0;89.8414
30503.0;92.7006
30504.0;100.7682
30505.0;91.8808
30506.0;78.7648
30507.0;80.6054
30508.0;90.9566
30509.0;84.874
30510.0;77.8178
30511.0;91.581
30512.0;71.4708
30513.0;83.8134
30514.0;77.867
30515.0;90.4866
30516.0;82.9006
30517.0;79.8202
30518.0;75.2928
30519.0;89.6952
30520.0;72.9052
30521.0;81.0692
30522.0;78.6322
30523.0;81.2674
30524.0;77.611
30525.0;82.143
30526.0;96.3088
30527.0;88.9934
30528.0;93.8772
30529.0;62.332
30530.0;92.4928
30531.0;70.6734
30532.0;92.3838
30533.0;81.4812
30534.0;69.7308
30535.0;73.96
30536.0;73.0072
30537.0;81.727
30538.0;94.5652
30539.0;95.3396
30540.0;82.9682
30541.0;81.818
30542.0;80.671
30543.0;69.3438
30544.0;91.757
30545.0;84.205
30546.0;97.554
30547.0;86.7468
30548.0;89.0746
30549.0;79.2744
30550.0;71.9768
30551.0;97.8538
30552.0;79.989
30553.0;91.1824
30554.0;97.3824
30555.0;63.1074
30556.0;94.4094
30557.0;82.8982
30558.0;87.3048
30559.0;79.3786
30560.0;82.3434
30561.0;76.374
30562.0;89.4704
30563.0;100.075
30564.0;80.7848
